DBA_NAME,CLS,PBC,MAIL_ADDR_LINE1,CITY,STATE,MAIL_ZIP
ESPERPENTO TAPAS RESTAURANT,8,3079,3295 22ND ST,SAN FRANCISCO,CA,94110-3034
ROLLING CAFE,8,3079,350 JUDSON AVE,SAN FRANCISCO,CA,94112-1812
TAQUERIA REINA'S,8,3079,5479 MISSION ST,SAN FRANCISCO,CA,94112-3745
REINAS RESTAURANT,8,3079,5479 MISSION ST,SAN FRANCISCO,CA,94112-3745
EL MEXICANO,8,3079,3088 24TH ST,SAN FRANCISCO,CA,94110-4130
CAFFE LA STAZIONE,8,3079,701 PENNSYLVANIA AVE #101,SAN FRANCISCO,CA,94107-3457
ANNA GRANDE,8,3079,3131 GEOFFREY DR,SAN BRUNO,CA,94066-1622
FLEUR DE SEL,8,3079,80 ELMHURST ST,SAN FRANCISCO,CA,94132-2015
JOEYS,8,3079,21 NOE ST,SAN FRANCISCO,CA,94114-1006
OLIVOS TAQUERIA,8,3079,1017 LARKIN ST,SAN FRANCISCO,CA,94109-5705
LAS ISLETAS,8,3079,4508 3RD ST,SAN FRANCISCO,CA,94124-2106
SUN RISE RESTAURANT,8,3079,1330 ALABAMA ST #C,SAN FRANCISCO,CA,94110-4109
LA LAGUNA,8,3079,3906 3RD ST,SAN FRANCISCO,CA,94124-1412
